Company,Count
"Stenger & Stenger, P.C",315
"Pendrick Capital Partners Holding, LLC",315
"Advantage Credit, Inc.",314
Grant Mercantile Agency,313
HIGHER EDUCATION STUDENT ASSISTANCE AUTHORITY (HESAA),313
"Tribal Lending Enterprise, Inc.",313
Revolut Technologies Inc.,312
"GREENSKY OPERATIONS, LLC",312
"Summit A*R, Inc.",312
"N.A.R., Inc.",309
AUTOMOTIVE CREDIT CORPORATION,309
Viking Client Services,309
"Receivable Management Group, Inc. (GA)",308
"Remex, Inc.",308
"BANKUNITED, NATIONAL ASSOCIATION",308
Receivables Management Corporation,308
Western-Shamrock Corporation,308
"PLAZA HOME MORTGAGE, INC.",307
SOUTHSTATE BANK CORPORATION,307
Account Resolution Corporation,306
"International Computer Systems, Inc.",306
"P.S.C., Inc",305
"Lloyd & McDaniel, PLC",304
"Rubin & Rothman, LLC",304
FACTUAL DATA CORP.,304
BANK OF HAWAII CORPORATION,303
"MNE Services, Inc",303
SG and Associates,302
Commercial Acceptance Company,301
Data Mortgage Inc.,301
ONEMAIN FINANCE CORPORATION,300
"First Investors Servicing Corporation, Atlanta, GA Branch",300
SIMMONS FIRST NATIONAL CORPORATION,300
"Seattle Service Bureau, Inc",298
"Volvo Car Financial Services U.S., LLC",298
"SERVICEMAC, LLC",298
Collection Consultants of California,297
UNIVERSAL ACCEPTANCE CORPORATION (NE),296
"Merchants and Professional Bureau, Inc.",294
Ascendium Education Group,293
Johnson Mark LLC,293
"American Accounts & Advisers, Inc.",291
Torriere Holdings INC,291
ASTORIA BANK,290
Contemporary Information Corp,289
Nelson Cruz & Associates LLC,289
Texas Guaranteed,289
"Sentry Recovery and Collections, Inc.",289
Climb Credit Inc.,288
"Shepherd Outsourcing, LLC",287
PREFERRED CREDIT INC,287
BYL Collection Services,285
Forster & Garbus LLP,285
E*TRADE BANK,285
"Key 2 Recovery, Inc.",285
Tate and Kirlin Assoc,285
XOOM CORPORATION,285
Finance of America Holdings LLC,284
"Kansas Counselors, Inc.",283
WASHINGTON FEDERAL BANK,280
Knight Adjustment Bureau,280
"FIRST HAWAIIAN, INC.",279
"Selip & Stylianou, LLP",279
"Financial Management Solutions, LLC",279
TomoCredit Inc.,279
Fig Tech Inc.,278
Payfare International Inc.,276
Kingston Data & Credit International Inc.,276
"Credit Bureau Collection Services, Inc.",276
"KLS Financial Services, Inc",276
"Media Collections, Inc",275
CAC Financial Corp,275
Healthcare Finance Direct LLC.,274
"FMA Alliance, Ltd.",274
"GOLD KEY CREDIT, INC.",274
"Aspen National Financial, Inc.",274
"Dyck-O'Neal, Inc.",271
"Capstone Credit & Collection, LLC.",271
Newport Intermediate Inc.,271
"Blockchain.com, Inc.",270
"Glasser and Glasser, PLC",270
Telerecovery Corporation,269
FIRSTBANK,269
"Maury Cobb, Attorney at Law, LLC",268
"Brock & Scott, PLLC",267
"Braviant Holdings, LLC",267
"Oliphant United, Inc.",267
"Happy Money, Inc.",265
"GLOBAL CLIENT SOLUTIONS, LLC",264
"Collection Bureau of Fort Walton Beach, Inc",263
"Credit Bureau Systems, Inc., Paducah, KY Branch",263
"Javitch, Block & Rathbone LLC",263
Franklin Credit Management Corporation,262
DataMax Corporation,261
"Securus J Holdings, LLC",261
"GFS II, LLC",261
"PDQ Services, Inc.",261
GATEWAY FIRST BANK,261
"MIB Group, Inc.",261
"Automated Collection Services, Inc.",260
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,260
Sigue Corp.,260
Financial Assistance Inc,259
"PROSPERITY BANCSHARES, INC.",258
"BANKMOBILE TECHNOLOGIES, INC",257
"R.A.Rogers, Inc.",256
FIRST HORIZON BANK - WEST CONGRESS STREET BRANCH,256
ADIR INTERNATIONAL LLC,256
"Atlantic Credit & Finance, Inc.",256
"RGS Financial, Inc.",255
Financial Asset Management Systems Inc,255
Medical-Commercial Audit Inc,254
"Rausch, Sturm, Israel, Enerson & Hornik, LLP",253
PRIMARY RESIDENTIAL MORTGAGE,253
"Pavilion Payments US BuyerCo, LLC",251
"Suttell, Hammer & White, P.S",251
Utah System of Higher Education,251
Scott Fetzer Financial Group Inc.,250
"William D. Meeker Enterprises, Inc.",250
Idaho Housing And Finance Association,250
Alpha Recovery Corp,247
CADENCE BANK,247
"Bepensa Capital, Inc.",247
Accurate Background,246
"Delta Management Associates, Inc.",246
Earnest Inc.,246
Kashable LLC,245
Entrata Inc.,245
Gatestone & Co. International Inc.,244
"Torres Credit Services, Inc.",244
Kashia Services,243
ALCHRO INC.,243
FIRST AMERICAN FINANCIAL CORPORATION,243
Great American Finance Co,243
"Collins Asset Group, LLC",242
"Meade & Associates, Inc.",241
"Receivable Recovery Services, LLC",240
WorldRemit Corp.,240
LANIER COLLECTIONS AGENCY AND SERVICES INC,240
"COLUMBIA BANKING SYSTEM, INC.",239
Georgia Student Finance Authority,237
Nicholas Financial Inc.,236
Cooling & Winter LLC,236
"Nationwide Credit & Collection, Inc.",235
Solidus Group LLC.,235
American Financial Network Inc.,235
C/C Financial,235
BANK OZK,234
"Medical Society Business Services, Inc.",234
Siggi LLC,234
FRANKLIN AMERICAN MORTGAGE CO.,233
"RSI Enterprises, Inc.",232
DFC Global Corp.,232
"Valor Intelligent Processing, LLC",232
"Credit Management Control, Inc.",231
"Allied International Credit Corp., (US)",231
"BC SERVICES, INC.",230
Pendrick Capital Partners,230
"Eastern Revenue, Inc.",230
Senex Services Corp.,230
"Enhanced Acquisitions, LLC",229
BANCORPSOUTH BANK,229
Premier Student Loan Center,228
CapitalJ Inc. dba Juno,227
Transform Credit Inc.,226
